Iteración,X1,X2,Error
1,0.4,2.16,2.16
2,1.184,1.2576,0.9024
3,0.66624,1.748736,0.51776
4,0.9662464,1.47050496,0.3000064
5,0.794952704,1.6289273856,0.171293696
6,0.89258041344,1.538666274816,0.0976277094400002
7,0.8369504272384,1.59009648869376,0.0556299862016003
8,0.868648510029824,1.56079159624335,0.0316980827914242
9,0.850586936491377,1.5774895188565,0.0180615735384473
10,0.860878420244326,1.5679750440821,0.0102914837529493
11,0.855014333583976,1.57339639103319,0.00586408666034965
12,0.858355689696482,1.57030730797547,0.00334135611250574
13,0.856451785250892,1.57206746725437,0.00190390444558963
14,0.857536629851569,1.57106452863818,0.00108484460067693
15,0.85691848548496,1.57163600298139,0.000618144366609563
16,0.857270704095563,1.57131037694638,0.000352218610603083
17,0.857070009959441,1.57149591863506,0.000200694136121671
18,0.857184365462135,1.57139019699571,0.000114355502693786
19,0.857119205705856,1.57145043717735,6.51597562791872e-05
