polinomio,a,b,c,d
1,-0.407801418439716,3.67021276595744,-5.6028368794326,4.78723404255318
2,0.110815602836879,-2.55319148936169,19.290780141844,-28.4042553191488
3,-0.128546099290779,4.62765957446804,-52.5177304964534,210.957446808509
